Ref,Val,Package,PosX,PosY,Rot,Side
"C1","GRM155R60J106ME15D","C_0402_1005Metric_L",-11.704900,-25.621120,270.000000,bottom
"C2","GRM155R60J106ME15D","C_0402_1005Metric_L",-10.815900,-25.621120,270.000000,bottom
"C5","GRM033R61A225ME47D","C_0201_0603Metric_L",-0.941560,-25.184180,180.000000,bottom
"C6","GRM033R61A225ME47D","C_0201_0603Metric_L",-2.305540,-30.731540,0.000000,bottom
"C20","GRM155R60J106ME15D","C_0402_1005Metric_L",-9.925380,-25.619020,270.000000,bottom
"C21","GRM158C80G226ME01J","C_0402_1005Metric_L",-8.659380,-33.381600,180.000000,bottom
"C24","GRM033R61A105ME15D","C_0201_0603Metric_L",-11.876260,-29.347240,270.000000,bottom
"C25","GRM033R61A105ME15D","C_0201_0603Metric_L",-10.243040,-34.678700,0.000000,bottom
"C26","GRM033R61A105ME15D","C_0201_0603Metric_L",-11.868640,-28.232180,90.000000,bottom
"C27","GRM033R61A104ME15D","C_0201_0603Metric_L",-10.997080,-32.440800,180.000000,bottom
"C37","GRM033R61A104ME15D","C_0201_0603Metric_L",-11.977860,-31.640860,270.000000,bottom
"C42","GRM033R71A103KA01D","C_0201_0603Metric_L",-10.997080,-31.170800,0.000000,bottom
"C43","GRM033R61A104ME15D","C_0201_0603Metric_L",-10.997080,-31.810800,0.000000,bottom
"C46","GRM155R60J475ME87D","C_0402_1005Metric_L",-8.675980,-34.364200,180.000000,bottom
"C47","GRM033R61A225ME47D","C_0201_0603Metric_L",-2.367180,-25.186720,0.000000,bottom
"C48","GRM033R61A225ME47D","C_0201_0603Metric_L",-3.550140,-26.642140,90.000000,bottom
"C49","GRM033R61A104ME15D","C_0201_0603Metric_L",-11.482080,-33.900800,180.000000,bottom
"C50","GRJ188R72A104KE11D","C_0603_1608Metric_L",-3.928600,-32.854980,180.000000,bottom
"C51","GRM033R61A104ME15D","C_0201_0603Metric_L",0.272560,-31.727220,0.000000,bottom
"C52","GRM033R61A104ME15D","C_0201_0603Metric_L",-1.092100,-31.714520,0.000000,bottom
"L1","BLM15HD102SN1D","L_0402_1005Metric",-6.763240,-27.376200,270.000000,bottom
"L3","LQM18PN3R3MGHD","L_0603_1608Metric_L",-5.345920,-29.903500,270.000000,bottom
"L6","LQM2HPN1R0MG0","L_1008_2520Metric_L",-6.544440,-32.895720,270.000000,bottom
"R1","ERJ-1GNF1801C","R_0201_0603Metric_ERJ_L",-8.887080,-25.450800,270.000000,bottom
"R5","0402WGF6491TCE","R_0201_0603Metric_ERJ_L",1.301260,-31.666260,90.000000,bottom
"R9","ERJ-1GNF1022C","R_0201_0603Metric_ERJ_L",-11.977080,-32.755800,90.000000,bottom
"R10","ERJ-1GNF1022C","R_0201_0603Metric_ERJ_L",-10.987080,-33.070800,0.000000,bottom
"R14","ERJ-1GNF3321C","R_0201_0603Metric_ERJ_L",-7.235680,-30.269260,90.000000,bottom
"R15","ERJ-1GNF3321C","R_0201_0603Metric_ERJ_L",-6.346680,-30.266720,90.000000,bottom
"R18","0402WGF1962TCE","R_0201_0603Metric_ERJ_L",-0.131300,-30.871240,0.000000,bottom
"U2","LTC3217EUD_TRPBF","HVQFN-16-1EP_3x3mm_P0.5mm_EP1.5x1.5mm",-0.796780,-28.028980,270.000000,bottom
"U3","SC189ZULTRT","SON_7P50_200X200X57L35X24T170X80N",-9.092280,-31.712960,90.000000,bottom
"U4","NCV8154MW180280TBG","DFN10_3x3_11P50_300X300X100L40X24T250X180N",-9.501040,-28.570380,90.000000,bottom
"U8","MT9P031I12STM-DP","iLCC48P70_1000X1000X135L80X40N",-22.317300,-29.845980,180.000000,bottom
"U9","TPL0102-100RUCR","QFN_14_P40_200X200X40L40X20L",-0.404300,-33.392640,0.000000,bottom
