Ref,Val,Package,PosX,PosY,Rot,Side
"C3","GRM033R61A104ME15D","C_0201_0603Metric_L",-20.019500,-28.233980,180.000000,top
"C4","GRM033R61C473KE84D","C_0201_0603Metric_L",-20.019500,-28.818180,180.000000,top
"C7","GRM155R60J475ME87D","C_0402_1005Metric_L",-18.485300,-29.961180,270.000000,top
"C8","GRM033R61A104ME15D","C_0201_0603Metric_L",-19.171100,-29.672380,270.000000,top
"C9","GRM033R71A103KA01D","C_0201_0603Metric_L",-19.729900,-29.672380,270.000000,top
"C10","GRM155R60J475ME87D","C_0402_1005Metric_L",-18.459900,-31.729780,270.000000,top
"C11","GRM033R61A104ME15D","C_0201_0603Metric_L",-19.191500,-30.757980,90.000000,top
"C12","GRM033R71A103KA01D","C_0201_0603Metric_L",-19.765500,-30.748580,90.000000,top
"C13","GRM033R61A105ME15D","C_0201_0603Metric_L",-19.196500,-31.831380,270.000000,top
"C14","GRM155R60J106ME15D","C_0402_1005Metric_L",-18.967900,-27.065580,90.000000,top
"C15","GRM033R61A104ME15D","C_0201_0603Metric_L",-19.707300,-27.385980,90.000000,top
"C16","GRM033R71A103KA01D","C_0201_0603Metric_L",-20.288700,-27.386380,90.000000,top
"C17","GRM033R61A104ME15D","C_0201_0603Metric_L",-27.080700,-27.497380,180.000000,top
"C18","GRM033R71A103KA01D","C_0201_0603Metric_L",-27.076300,-26.938580,180.000000,top
"C19","GRM21BR61A476ME15L","C_0805_2012Metric_L",-4.577080,-26.010800,90.000000,top
"C22","GRM033R61A104ME15D","C_0201_0603Metric_L",-27.077300,-29.199180,180.000000,top
"C23","GRM033R71A103KA01D","C_0201_0603Metric_L",-27.077300,-28.640380,180.000000,top
"C28","GRM033R61A105ME15D","C_0201_0603Metric_L",-19.663900,-25.058980,270.000000,top
"C29","GRM033R61A104ME15D","C_0201_0603Metric_L",-17.530300,-28.792780,0.000000,top
"C30","GRM033R61A104ME15D","C_0201_0603Metric_L",-21.975300,-25.058980,90.000000,top
"C31","GRM033R61A104ME15D","C_0201_0603Metric_L",-22.661100,-25.058980,90.000000,top
"C32","GRM033R61A104ME15D","C_0201_0603Metric_L",-21.253900,-34.650780,270.000000,top
"C33","GRM033R61A104ME15D","C_0201_0603Metric_L",-22.676300,-34.650780,270.000000,top
"C34","GRM155R60J106ME15D","C_0402_1005Metric_L",-18.952700,-25.363780,270.000000,top
"C35","GRM033R61A104ME15D","C_0201_0603Metric_L",-27.077300,-28.075980,180.000000,top
"C36","GRM033R61A104ME15D","C_0201_0603Metric_L",-21.965100,-34.650780,270.000000,top
"C38","GRM033R61A105ME15D","C_0201_0603Metric_L",-27.077300,-29.757980,180.000000,top
"C39","GRM033R61A104ME15D","C_0201_0603Metric_L",-23.372300,-25.058980,90.000000,top
"C40","GRM155R60J106ME15D","C_0402_1005Metric_L",-27.207700,-31.256580,270.000000,top
"C41","GRM033R61A104ME15D","C_0201_0603Metric_L",-17.530300,-29.503980,0.000000,top
"C44","GRM033R71A103KA01D","C_0201_0603Metric_L",-24.845500,-34.050580,270.000000,top
"C45","GRM033R61A105ME15D","C_0201_0603Metric_L",-17.525120,-34.360780,270.000000,top
"D18","BAS316-TP","SOD_323_250X125X110L30X32L",-0.390380,-34.381520,0.000000,top
"D19","LED 0402","LED_0402_1005Metric",-23.387500,-31.678980,180.000000,top
"J_coax1","U.FL-R-SMT-1(10)","Coax_Conn_U.FL",-8.261040,-26.960840,90.000000,top
"L2","ADL3225V-470MT-TL000","L_1210_3225Metric_L",-1.267680,-26.085880,180.000000,top
"L4","BLM15HD102SN1D","L_0402_1005Metric",-17.596300,-31.755180,270.000000,top
"L5","BLM15HD102SN1D","L_0402_1005Metric",-18.114500,-27.014780,90.000000,top
"R2","ERJ-1GNF49R9C","R_0201_0603Metric_ERJ_L",-18.927300,-28.818180,180.000000,top
"R3","ERJ-1GNF1022C","R_0201_0603Metric_ERJ_L",-20.618900,-31.602780,90.000000,top
"R4","ERJ-1GNF1003C","R_0201_0603Metric_ERJ_L",-21.177700,-31.602780,270.000000,top
"R7","ERJ-1GNF1022C","R_0201_0603Metric_ERJ_L",-19.780700,-31.831380,90.000000,top
"R11","DNL","R_0201_0603Metric_ERJ_L",-25.683700,-31.866180,180.000000,top
"R12","1k","R_0201_0603Metric_ERJ_L",-18.089100,-34.360780,90.000000,top
"R13","500","R_0201_0603Metric_ERJ_L",-24.835300,-32.745780,270.000000,top
"R19","ERJ-1GNJ622C","R_0201_0603Metric_ERJ_L",-0.857060,-33.195340,0.000000,top
"R20","ERJ-1GNF3741C","R_0201_0603Metric_ERJ_L",0.452900,-32.915940,90.000000,top
"R21","ERJ-1GNJ622C","R_0201_0603Metric_ERJ_L",0.986300,-30.777260,270.000000,top
"R22","ERJ-1GNF3741C","R_0201_0603Metric_ERJ_L",1.151400,-33.040400,270.000000,top
"U1","DS90UB913ATRTVTQ1","QFN_33_P50_500X500X80L40X24T310L",-23.499300,-28.462580,0.000000,top
"U5","BNO055","LGA-28_5.2x3.8mm_P0.5mm",-9.497080,-32.200800,0.000000,top
"U6","SG-210STF 66.6667ML3","OSC_CC250X200X80L70X75L",-26.394900,-33.669580,270.000000,top
"U7","MAX14574EWL+","BGA_15_NP50_3X5_155X255X69B31N",-4.035280,-34.003060,180.000000,top
