Ref,Val,Package,PosX,PosY,Rot,Side
"","","Pad_e4285",-17.653500,-14.704000,90.000000,top
"","","Pad_e4286",-17.653500,-13.688000,90.000000,top
"","","Pad_e4289",-17.653500,-13.205000,90.000000,top
"","","Pad_e4288",-17.653500,-12.697000,90.000000,top
"","","Pad_e4287",-17.653500,-14.196000,90.000000,top
"D1","","LXZ1-PB01",1.295500,-5.791000,68.630000,top
"D2","","LXZ1-PB01",-3.327500,-5.385000,100.450500,top
"D3","","LXZ1-PB01",-7.493000,-7.493000,132.270300,top
"D4","","LXZ1-PB01",-9.931500,-11.481000,164.090100,top
"D5","","LXZ1-PB01",-9.906000,-16.002000,-164.090100,top
"D6","","LXZ1-PB01",-7.417000,-20.015000,-132.270300,top
"D7","","LXZ1-PB01",-3.251000,-22.072500,-100.450500,top
"D8","","LXZ1-PB01",1.346000,-21.641000,-68.630700,top
